SensorDate,Settlement,Main_Dmg,geometry
2023-09-10,Ait Othmane,Possible damage,POINT (-8.392858687999933 31.15542189300004)
2023-09-10,Ait Othmane,Damage,POINT (-8.393607711999948 31.154890005000084)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.393913759999919 31.15433405500005)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.393435372999932 31.154460751000045)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.393140476999918 31.154285998000034)
2023-09-10,Ait Othmane,Damage,POINT (-8.388460367999926 31.163356922000048)
2023-09-10,Ait Othmane,Damage,POINT (-8.387123235999923 31.16359054800006)
2023-09-10,Ait Othmane,Damage,POINT (-8.385609641999906 31.162912040000037)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.385950137999941 31.163036309000063)
2023-09-10,Ait Othmane,Possible damage,POINT (-8.386101745999952 31.16229566700008)
2023-09-10,Ait Othmane,Damage,POINT (-8.385798529999931 31.162454731000082)
2023-09-10,Ait Othmane,Damage,POINT (-8.38572148399993 31.162109264000037)
2023-09-10,Ait Othmane,Damage,POINT (-8.385562419999928 31.162176369000065)
2023-09-10,Ait Othmane,Damage,POINT (-8.385783617999948 31.161860726000043)
2023-09-10,Ait Othmane,Damage,POINT (-8.38566183499995 31.16170911800009)
2023-09-10,Ait Othmane,Damage,POINT (-8.385415782999928 31.161870667000073)
2023-09-10,Ait Othmane,Damage,POINT (-8.385095168999953 31.16198250900004)
2023-09-10,Ait Othmane,Damage,POINT (-8.385182156999917 31.161813504000065)
2023-09-10,Ait Othmane,Damage,POINT (-8.385087712999905 31.161738942000056)
2023-09-10,Ait Othmane,Damage,POINT (-8.38528654299995 31.16168923500004)
2023-09-10,Ait Othmane,Damage,POINT (-8.385177185999908 31.161582364000083)
2023-09-10,Ait Othmane,Damage,POINT (-8.385972506999906 31.16169669100009)
2023-09-10,Ait Othmane,Damage,POINT (-8.385805986999912 31.161594791000084)
2023-09-10,Ait Othmane,Damage,POINT (-8.386715633999927 31.161656925000045)
2023-09-10,Ait Othmane,Damage,POINT (-8.38666344099994 31.16118718900009)
2023-09-10,Ait Othmane,Damage,POINT (-8.386705692999953 31.161358680000035)
2023-09-10,Ait Othmane,Damage,POINT (-8.386486979999916 31.161353709000082)
2023-09-10,Ait Othmane,Damage,POINT (-8.386477037999953 31.161122569000042)
2023-09-10,Ait Othmane,Damage,POINT (-8.386578938999946 31.16104303700007)
2023-09-10,Ait Othmane,Damage,POINT (-8.38645218399995 31.160893915000088)
2023-09-10,Ait Othmane,Damage,POINT (-8.38638259399994 31.160993330000053)
2023-09-10,Ait Othmane,Damage,POINT (-8.386668411999949 31.160794499000076)
2023-09-10,Ait Othmane,Damage,POINT (-8.38659385099993 31.160874032000038)
2023-09-10,Ait Othmane,Damage,POINT (-8.386688294999942 31.160650348000047)
2023-09-10,Ait Othmane,Damage,POINT (-8.386370166999939 31.161154879000037)
2023-09-10,Ait Othmane,Damage,POINT (-8.386327915999914 31.161057949000053)
2023-09-10,Ait Othmane,Damage,POINT (-8.386213587999919 31.161294060000046)
2023-09-10,Ait Othmane,Damage,POINT (-8.385818412999924 31.16141335800006)
2023-09-10,Ait Othmane,Damage,POINT (-8.386037126999952 31.16148294900006)
2023-09-10,Ait Othmane,Damage,POINT (-8.385512711999922 31.161505317000035)
2023-09-10,Ait Othmane,Damage,POINT (-8.385398384999917 31.161602247000076)
2023-09-10,Ait Othmane,Damage,POINT (-8.385371045999932 31.161433241000054)
2023-09-10,Ait Othmane,Damage,POINT (-8.385204525999939 31.161351224000043)
2023-09-10,Ait Othmane,Damage,POINT (-8.38535613299996 31.161246838000068)
2023-09-10,Ait Othmane,Damage,POINT (-8.385463004999906 31.16118718900009)
2023-09-10,Ait Othmane,Damage,POINT (-8.38527163099991 31.16118967400007)
2023-09-10,Ait Othmane,Damage,POINT (-8.386119143999906 31.160709997000083)
2023-09-10,Ait Othmane,Damage,POINT (-8.386096775999931 31.16087900200006)
2023-09-10,Ait Othmane,Damage,POINT (-8.386037126999952 31.160975932000042)
2023-09-10,Ait Othmane,Damage,POINT (-8.38594268199995 31.161013213000047)
