ADM2_NAME,lat,lng,country,admin_name
Sidi Allal el Bahraoui,33.983,-6.417,Morocco,Rabat-Salé-Kénitra
Ait Yazza,30.5063,-8.7931,Morocco,Souss-Massa
Ras el Oued,34.15,-4.0,Morocco,Fès-Meknès
Sebt Bni Smith,35.1373,-4.7107,Morocco,Tanger-Tétouan-Al Hoceïma
Aç-çahrij,31.8,-7.14,Morocco,Marrakech-Safi
Wawizaght,32.1586,-6.355,Morocco,Béni Mellal-Khénifra
Ifrane,33.5333,-5.1167,Morocco,Fès-Meknès
Madagh,35.0133,-2.3397,Morocco,Oriental
Al Hammam,33.1868,-5.6225,Morocco,Béni Mellal-Khénifra
Anazzou,30.6333,-8.05,Morocco,Souss-Massa
Moul El Bergui,32.5113,-8.9849,Morocco,Marrakech-Safi
Tendrara,33.05,-2.0,Morocco,Oriental
Oulad Bou Rahmoun,32.2954,-6.6668,Morocco,Béni Mellal-Khénifra
Douar El Arbaa Bou Quorra,34.749,-5.1982,Morocco,Tanger-Tétouan-Al Hoceïma
Driouch,34.9833,-3.3833,Morocco,Oriental
Tazert,31.6597,-7.4092,Morocco,Marrakech-Safi
Aïn Jemaa,34.0333,-5.8,Morocco,Fès-Meknès
Souk Et-Tleta des Oulad Hamdane,33.1047,-8.2495,Morocco,Casablanca-Settat
Sabbah,33.8036,-7.0372,Morocco,Rabat-Salé-Kénitra
Ben Taieb,35.0837,-3.4696,Morocco,Oriental
Tazzarine,30.7722,-5.5458,Morocco,Drâa-Tafilalet
Midar,34.95,-3.5333,Morocco,Oriental
Mellila,33.3833,-7.1333,Morocco,Casablanca-Settat
Oued Jdida,33.9333,-5.3667,Morocco,Fès-Meknès
Esbiaat,32.2044,-8.5608,Morocco,Marrakech-Safi
Douar Souk L‘qolla,35.0718,-5.5702,Morocco,Tanger-Tétouan-Al Hoceïma
Aghbal,34.9394,-2.1272,Morocco,Oriental
Tabant,31.6581,-6.42,Morocco,Béni Mellal-Khénifra
’Tlat Bni Oukil,32.577,-6.84,Morocco,Béni Mellal-Khénifra
Bni Darkoul,35.0563,-5.0688,Morocco,Tanger-Tétouan-Al Hoceïma
Gourrama,32.3333,-4.0833,Morocco,Drâa-Tafilalet
Bhalil,33.85,-4.8667,Morocco,Fès-Meknès
Nzalat Laadam,32.1,-7.95,Morocco,Marrakech-Safi
Ighrem n’Ougdal,31.2333,-7.4333,Morocco,Drâa-Tafilalet
Oulad Driss,31.9536,-8.2053,Morocco,Marrakech-Safi
Zemamra,32.6215,-8.7023,Morocco,Casablanca-Settat
Ayt ’Attou ou L’Arbi,31.5456,-8.2967,Morocco,Marrakech-Safi
Boula’wane,32.8607,-8.053,Morocco,Casablanca-Settat
Bezou,32.0833,-7.05,Morocco,Béni Mellal-Khénifra
Sidi Azzouz,31.7667,-7.6667,Morocco,Marrakech-Safi
Ourtzagh,34.55,-4.9333,Morocco,Fès-Meknès
Zemrane,31.5339,-8.2672,Morocco,Marrakech-Safi
Tagalft,32.2389,-6.1238,Morocco,Béni Mellal-Khénifra
Temsamane,35.1167,-3.6333,Morocco,Oriental
Tounfit,32.4667,-5.2333,Morocco,Drâa-Tafilalet
Ihaddadene,31.2,-9.65,Morocco,Marrakech-Safi
Zaouiat Moulay Bouchta El Khammar,34.4833,-5.1167,Morocco,Fès-Meknès
Tafrant,34.625,-5.1242,Morocco,Fès-Meknès
Douar Hammadi,31.6,-8.4667,Morocco,Marrakech-Safi
Bou Izakarn,29.1667,-9.7333,Morocco,Guelmim-Oued Noun
Zayda,32.8167,-4.95,Morocco,Drâa-Tafilalet
Sidi Abdelkarim,33.1869,-7.2333,Morocco,Casablanca-Settat
Talwat,31.2883,-7.2372,Morocco,Drâa-Tafilalet
Oulad Chikh,32.8544,-7.5386,Morocco,Casablanca-Settat
Arbaa Laaounate,32.7446,-8.1942,Morocco,Casablanca-Settat
Khmis Sidi al ’Aydi,33.1228,-7.6219,Morocco,Casablanca-Settat
Douar Lehgagcha,32.55,-8.7167,Morocco,Casablanca-Settat
Toulal,32.3036,-3.9861,Morocco,Drâa-Tafilalet
Tamsaout,29.5333,-8.85,Morocco,Souss-Massa
Aghbala,32.4833,-5.6333,Morocco,Béni Mellal-Khénifra
Sidi Yahia,30.4969,-8.8211,Morocco,Souss-Massa
Mqam at Tolba,33.9375,-6.2544,Morocco,Rabat-Salé-Kénitra
Kissane Ltouqi,34.6,-5.0833,Morocco,Fès-Meknès
Tahannawt,31.3514,-7.9508,Morocco,Marrakech-Safi
Reggada,29.5716,-9.6972,Morocco,Souss-Massa
Sebt Labrikiyne,32.2944,-8.0722,Morocco,Marrakech-Safi
El Kansera,34.0419,-5.9272,Morocco,Rabat-Salé-Kénitra
Douar Sidi Laaroussi,31.845,-9.1586,Morocco,Marrakech-Safi
Asjen,34.85,-5.6167,Morocco,Tanger-Tétouan-Al Hoceïma
Ksar Sghir,35.8419,-5.5586,Morocco,Tanger-Tétouan-Al Hoceïma
Sebt Bni Garfett,35.25,-5.8333,Morocco,Tanger-Tétouan-Al Hoceïma
Oulad Rahmoun,32.3278,-6.5006,Morocco,Béni Mellal-Khénifra
Bni Khloug,32.65,-7.3833,Morocco,Casablanca-Settat
Bou Adel,34.5428,-4.5075,Morocco,Fès-Meknès
Guisser,32.7667,-7.5,Morocco,Casablanca-Settat
Douar Oulad Youssef,32.4807,-6.3769,Morocco,Béni Mellal-Khénifra
Tizgane,35.4136,-5.0696,Morocco,Tanger-Tétouan-Al Hoceïma
Kasba Tanora,32.4751,-6.1498,Morocco,Béni Mellal-Khénifra
Souakene,35.1167,-5.95,Morocco,Tanger-Tétouan-Al Hoceïma
Teroual,34.6667,-5.2667,Morocco,Tanger-Tétouan-Al Hoceïma
Oulad Ouchchih,35.0939,-5.9454,Morocco,Tanger-Tétouan-Al Hoceïma
Laamarna,31.8944,-8.9842,Morocco,Marrakech-Safi
Zag,28.0167,-9.3333,Morocco,Guelmim-Oued Noun
Ounagha,31.5333,-9.55,Morocco,Marrakech-Safi
Ahermoumou,33.8184,-4.4106,Morocco,Fès-Meknès
Aït Youssef Ou Ali,31.9833,-5.7833,Morocco,Drâa-Tafilalet
Zawiat Moulay Brahim,31.2858,-7.9656,Morocco,Marrakech-Safi
Bni Drar,34.8578,-1.9928,Morocco,Oriental
Jaidte Lbatma,31.6806,-7.7281,Morocco,Marrakech-Safi
Boumalne,31.3738,-5.9956,Morocco,Drâa-Tafilalet
Oulad Aïssa,30.558,-8.614,Morocco,Souss-Massa
Oulad Fares,35.5167,-5.9333,Morocco,Tanger-Tétouan-Al Hoceïma
Oulad Amrane el Mekki,35.2167,-5.9667,Morocco,Tanger-Tétouan-Al Hoceïma
Gharbia,35.5153,-5.9306,Morocco,Tanger-Tétouan-Al Hoceïma
Nkheila,32.9572,-7.0731,Morocco,Casablanca-Settat
Tissa,34.2833,-4.6667,Morocco,Fès-Meknès
Ain Kansara,34.15,-4.8314,Morocco,Fès-Meknès
